iter	Passed	Remaining
0	1	147
1	2	141
2	4	138
3	5	128
4	6	126
5	8	125
6	9	122
7	10	120
8	11	120
9	13	120
10	14	118
11	15	116
12	17	114
13	18	112
14	19	112
15	21	110
16	22	109
17	23	107
18	24	105
19	26	106
20	28	106
21	29	104
22	30	102
23	31	101
24	33	99
25	34	98
26	35	96
27	36	94
28	38	93
29	39	92
30	41	91
31	42	90
32	43	89
33	45	87
34	46	86
35	47	85
36	49	83
37	50	82
38	51	81
39	53	80
40	54	79
41	55	76
42	56	75
43	57	73
44	59	72
45	60	70
46	61	69
47	62	68
48	64	66
49	65	65
50	67	64
51	68	63
52	70	62
53	71	60
54	72	59
55	73	57
56	74	56
57	76	55
58	77	53
59	78	52
60	79	51
61	81	49
62	82	48
63	83	47
64	84	45
65	86	44
66	87	42
67	88	41
68	90	40
69	91	39
70	92	37
71	94	36
72	95	35
73	97	34
74	98	32
75	100	31
76	101	30
77	102	28
78	103	27
79	104	26
80	106	24
81	107	23
82	109	22
83	110	21
84	112	19
85	114	18
86	115	17
87	116	15
88	117	14
89	119	13
90	120	11
91	122	10
92	123	9
93	124	7
94	125	6
95	126	5
96	128	3
97	129	2
98	130	1
99	131	0
